id,title,description,views,likesCount,commentsCount,publishedAt,channelTitle,URL
fxqCF1SAe3c,You&#39;re NOT Lazy: Easy Procrastination Fix,"Next time you find yourself stuck with procrastination, stop and ask yourself these three questions! Watch your productivity go ...",118631,15167,54,2023-05-06T16:00:31Z,Clark Kegley,https://www.youtube.com/watch?v=fxqCF1SAe3c
8eUTtYt9bWM,"If you struggle with procrastination, do this.",Join Myron's Live Challenge Today← https://www.makemoreofferschallenge.com/ Subscribe to my ...,371735,31805,371,2024-02-17T15:00:11Z,Myron Golden,https://www.youtube.com/watch?v=8eUTtYt9bWM
7qblF1mRKPM,Beat Procrastination (8 Stoic Strategies That Work),This video is sponsored by Vuori. Daily Stoic listeners get 20% off their first order here: https://www.vuori.com/dailystoic ...,72477,2546,75,2025-06-06T20:09:57Z,Daily Stoic,https://www.youtube.com/watch?v=7qblF1mRKPM
w4NsjnL4ieA,SpongeBob Writes an Essay 📝 &quot;Procrastination&quot; in 5 Minutes!,SpongeBob is a known procrastinator. So what does it take for him to sit down and write an essay? Find out in this 5 minute ...,2678232,22714,0,2020-04-12T14:00:21Z,SpongeBob SquarePants Official,https://www.youtube.com/watch?v=w4NsjnL4ieA
-Feev1ZK6L4,How to Beat Procrastination Like It Owes You Money,I'm going to show you how to get out of a rut… and you're going to f*cking like it. Every problem of inaction comes down to a ...,848154,43113,1269,2024-01-07T17:00:00Z,Mark Manson,https://www.youtube.com/watch?v=-Feev1ZK6L4
vP3VOKBcloo,Why do we procrastinate? ⏲️ 6 Minute English,"Why do people procrastinate? We'll hear from a comedian who likes to leave their work until the last minute, and as usual, we'll be ...",458944,10157,178,2023-02-16T16:00:37Z,BBC Learning English,https://www.youtube.com/watch?v=vP3VOKBcloo
dqfkT8hMKFA,How to overcome procrastination,"NEWSLETTER: https://tinahuang.substack.com/ It's about learning, coding, and generally how to get your sh*t together c: AI ...",110858,5089,73,2024-03-12T15:50:17Z,Tina Huang,https://www.youtube.com/watch?v=dqfkT8hMKFA
IoJx9sXeP34,How to Fight Your Procrastination Anxiety (and Win!),links to videos on endslate: Why We Procrastinate and How to Fix it: https://www.youtube.com/watch?v=uBwGvboe4hM How to ...,700098,38673,1939,2016-06-21T18:34:52Z,How to ADHD,https://www.youtube.com/watch?v=IoJx9sXeP34
9dPJuWx--3U,7 Reasons You&#39;re a Procrastinator,Are you interested about the psychology of procrastination? Have you been curious as to why you procrastinate or why someone ...,262329,14816,1508,2020-06-14T05:42:22Z,Psych2Go,https://www.youtube.com/watch?v=9dPJuWx--3U
oQY3vOGtLBE,When you PROCRASTINATE ⏰😓😳 #shorts,Procrastinating and struggling to exist u_u; #cypherden #shorts #cartoon #meme #comedy #procrastination.,425679,26995,181,2023-09-27T02:09:22Z,CypherDen,https://www.youtube.com/watch?v=oQY3vOGtLBE
m5cCplIkr7k,Why do we procrastinate? According to neuroscience 🧠,Why do we procrastinate? According to neuroscience? #neuroscience #procrastination #science #productivity.,2131,79,0,2025-03-02T16:01:57Z,Aly,https://www.youtube.com/watch?v=m5cCplIkr7k
16E1J2oW2Y8,Are You a Revenge Procrastinator? Watch This. | Mel Robbins #Shorts,Order your copy of The Let Them Theory https://melrob.co/let-them-theory The #1 Best Selling Book of 2025 Discover how ...,91074,7653,73,2023-04-21T19:00:00Z,Mel Robbins,https://www.youtube.com/watch?v=16E1J2oW2Y8
f_EONDxuD_E,How to stop procrastinating,"Learn more from Dr. K: https://bit.ly/3GaubzI (180+ videos on Meditation, Trauma, ADHD, + more!) Build the life you want with HG ...",83103,5320,50,2025-09-22T22:00:49Z,HealthyGamerGG,https://www.youtube.com/watch?v=f_EONDxuD_E
ajO1nqwuIkY,FEAR of SUCCESS causes procrastination!,Very few people understand ACTUAL SOURCES of procrastination. ✓ Oftentimes it is not caused by laziness but instead I fear.,7157,487,8,2022-06-26T06:00:01Z,Katerina Lengold,https://www.youtube.com/watch?v=ajO1nqwuIkY
z20kFuEL-V4,The Procrastination Machine,"The Procrastination Assistance Machine ••• If you think I'm capable when it comes to engineering, you might be surprised when I ...",6261301,382721,3981,2023-11-11T02:38:04Z,Engineezy,https://www.youtube.com/watch?v=z20kFuEL-V4
KcTz_hpRNGY,J. Cole - procrastination (broke),jcole - pracrastination (broke) prod. @Bvtman Much love and appreciation to this right here & J Cole. More life. Bless. One Love.,19942703,516469,12859,2023-01-19T00:00:13Z,Bvtman,https://www.youtube.com/watch?v=KcTz_hpRNGY
ef_JenyvDHw,Combating procrastination for people with ADHD,Check out Dr. K's Guide to Mental Health: https://bit.ly/3GaubzI Our Healthy Gamer Coaches have transformed over 10000 lives.,183742,16483,220,2025-03-10T22:30:12Z,HealthyGamerGG,https://www.youtube.com/watch?v=ef_JenyvDHw
tpY7Pdwrm74,Procrastination: When Motivation is Simply Not Enough - Complex Trauma Prisons,Tim explores how Complex Trauma may contribute to why you might procrastinate. ▷ Learn the Basics of Complex Trauma here: ...,75902,4002,349,2024-08-24T00:20:45Z,Tim Fletcher,https://www.youtube.com/watch?v=tpY7Pdwrm74
CFu_58AnT0g,The reason you procrastinate (It&#39;s not what you think) | Mel Robbins,Order your copy of The Let Them Theory https://melrob.co/let-them-theory The #1 Best Selling Book of 2025 Discover how ...,1369920,56347,1538,2018-02-01T00:42:02Z,Mel Robbins,https://www.youtube.com/watch?v=CFu_58AnT0g
MbJ-zU43WaY,Procrastination Holds You Back,Wondering if OCD could be behind your procrastination? NOCD's licensed OCD specialists can help. Get started with a free ...,299066,14955,998,2026-01-21T23:00:23Z,HealthyGamerGG,https://www.youtube.com/watch?v=MbJ-zU43WaY
4vsoc3S2rKI,ADHD Procrastination Was Ruining My Life—Until I Learned This,Find out what kind of procrastinator you are (and how to finally beat it) — 3-minute quiz: https://link.adhdvision.com/kN4 ADHD ...,197348,9936,469,2025-07-10T15:00:09Z,ADHDVision,https://www.youtube.com/watch?v=4vsoc3S2rKI
Z2eADLBcukQ,Watch this if you&#39;re procrastinating.,I spent hours creating this time tracking workbook for you ❤️ hope you like it! : https://wamy.ck.page/timelog To beat root cause ...,210194,13973,303,2024-01-13T15:00:32Z,Amy Wang,https://www.youtube.com/watch?v=Z2eADLBcukQ
